Company,Y,X,State,Street,City,Zipcode,Phone,Notes
Alpine Fresh,25.82567,-80.34836,FL,9300 NW 58th St,Doral,33178,305-594-9117,
Always Fresh Farms,27.99639,-82.16108,FL,1908 Industrial Park Drive,Plant City,33566,,cooler
Cal Giant,36.90284,-121.759,CA,75 Sakata Lane,Watsonville,95076,831-728-1965,corporate
Dole,37.36144,-120.6301,CA,7916 Bellevue Rd,Winton,95388,209-358-5643,
Driscoll's,X,X,,56 cooling / distribution sites in North / South America,,,,
Eastern Propak,39.69472,-75.13616,NJ,800 Ellis Mill Road,Glassboro,08028,609-561-3644,
Florida European,25.78822,-80.35116,FL,1500 NW 96th Avenue,Miami,33172,305-477-0991,
Giumarra,39.82287,-75.77121,PA,944 Penn Green Rd,Avondale,19311,610-268-0286,sales office
Giumarra,33.77742,-118.21664,CA,1710 Pier B Street,Long Beach,90813,562-308-5480,sales office
Giumarra,34.01051,-118.21252,CA,3001 Sierra Pine Avenue,Redondo Beach,90278,310-216-7575,
Gloucester Refrigerated Warehouse,39.8973,-75.12637,NJ,King & Essex Streets,Gloucester,08030,856-456-9495,
Gourmet Trading,33.88939,-118.36301,CA,2580 Santa Fe Avenue,Redondo Beach,90278,310-216-7575,corporate
Hellman Persihable Logistics,25.80932,-80.36663,FL,10450 Doral Blvd,Doral,33178,305-594-5995,
Naturipe,x,x,GA,,Alma,31510,,
Naturipe,35.80517,-119.15212,CA,768 Road 188,Delano,93215,661-725-6458,
Port Evergaldes,26.08127,-80.13523,FL,1850 Eller Drive,Fort Lauderdale,33316,954-523-3404,
Port of Tioga,39.98002,-75.09041,PA,3460 North Delaware Ave,Philadelphia,19134,215-423-3635,
Port of Wilmington,39.71305,-75.53283,DE,150 Sico Road,Wilmington,19801,302-426-9130,
Sun Belle,41.94937,-87.86676,IL,3810 Rose Street,Schiller Park,60176,,cooler
Sun Belle,39.15025,-76.80236,MD,8375 Patuxent Range Rd,Jessup,20794,,cooler
Sun Belle,25.79622,-80.31229,FL,2323 NW 72nd Avenue,Miami,33122,,cooler
Sun Belle,34.19129,-119.17246,CA,950 Industrial Avenue,Oxnard,93030,,cooler
Wish Farms,28.0347,-82.11129,FL,2202 North Gordon Street,Plant City,33563,,cooler
